Event ID,Severity,Description
4618,High,A monitored security event pattern has occurred.
4649,High,A replay attack was detected. May be a harmless false positive due to misconfiguration error.
4719,High,System audit policy was changed.
4765,High,SID History was added to an account.
4766,High,An attempt to add SID History to an account failed.
4794,High,An attempt was made to set the Directory Services Restore Mode.
4897,High,Role separation enabled:
4964,High,Special groups have been assigned to a new logon.
5124,High,A security setting was updated on the OCSP Responder Service
1102,Medium to High,The audit log was cleared
4621,Medium,Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.
4675,Medium,SIDs were filtered.
4692,Medium,Backup of data protection master key was attempted.
4693,Medium,Recovery of data protection master key was attempted.
4706,Medium,A new trust was created to a domain.
4713,Medium,Kerberos policy was changed.
4714,Medium,Encrypted data recovery policy was changed.
4715,Medium,The audit policy (SACL) on an object was changed.
4716,Medium,Trusted domain information was modified.
4724,Medium,An attempt was made to reset an account's password.
4727,Medium,A security-enabled global group was created.
4735,Medium,A security-enabled local group was changed.
4737,Medium,A security-enabled global group was changed.
4739,Medium,Domain Policy was changed.
4754,Medium,A security-enabled universal group was created.
4755,Medium,A security-enabled universal group was changed.
4764,Medium,A security-disabled group was deleted
4764,Medium,A group's type was changed.
4780,Medium,The ACL was set on accounts which are members of administrators groups.
4816,Medium,RPC detected an integrity violation while decrypting an incoming message.
4865,Medium,A trusted forest information entry was added.
4866,Medium,A trusted forest information entry was removed.
4867,Medium,A trusted forest information entry was modified.
4868,Medium,The certificate manager denied a pending certificate request.
4870,Medium,Certificate Services revoked a certificate.
4882,Medium,The security permissions for Certificate Services changed.
4885,Medium,The audit filter for Certificate Services changed.
4890,Medium,The certificate manager settings for Certificate Services changed.
4892,Medium,A property of Certificate Services changed.
4896,Medium,One or more rows have been deleted from the certificate database.
4906,Medium,The CrashOnAuditFail value has changed.
4907,Medium,Auditing settings on object were changed.
4908,Medium,Special Groups Logon table modified.
4912,Medium,Per User Audit Policy was changed.
4960,Medium,"IPsec dropped an inbound packet that failed an integrity check. If this problem persists, it could indicate a network issue or that packets are being modified in transit to this computer. Verify that the packets sent from the remote computer are the same as those received by this computer. This error might also indicate interoperability problems with other IPsec implementations."
4961,Medium,"IPsec dropped an inbound packet that failed a replay check. If this problem persists, it could indicate a replay attack against this computer."
4962,Medium,IPsec dropped an inbound packet that failed a replay check. The inbound packet had too low a sequence number to ensure it was not a replay.
4963,Medium,IPsec dropped an inbound clear text packet that should have been secured. This is usually due to the remote computer changing its IPsec policy without informing this computer. This could also be a spoofing attack attempt.
4965,Medium,"IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI). This is usually caused by malfunctioning hardware that is corrupting packets. If these errors persist, verify that the packets sent from the remote computer are the same as those received by this computer. This error may also indicate interoperability problems with other IPsec implementations. In that case, if connectivity is not impeded, then these events can be ignored."
4976,Medium,"During Main Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation."
4977,Medium,"During Quick Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation."
4978,Medium,"During Extended Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation."
4983,Medium,An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.
4984,Medium,An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.
5027,Medium,The Windows Firewall Service was unable to retrieve the security policy from the local storage. The service will continue enforcing the current policy.
5028,Medium,The Windows Firewall Service was unable to parse the new security policy. The service will continue with currently enforced policy.
5029,Medium,The Windows Firewall Service failed to initialize the driver. The service will continue to enforce the current policy.
5030,Medium,The Windows Firewall Service failed to start.
5035,Medium,The Windows Firewall Driver failed to start.
5037,Medium,The Windows Firewall Driver detected critical runtime error. Terminating.
5038,Medium,Code integrity determined that the image hash of a file is not valid. The file could be corrupt due to unauthorized modification or the invalid hash could indicate a potential disk device error.
5120,Medium,OCSP Responder Service Started
5121,Medium,OCSP Responder Service Stopped
5122,Medium,A configuration entry changed in OCSP Responder Service
5123,Medium,A configuration entry changed in OCSP Responder Service
5376,Medium,Credential Manager credentials were backed up.
