Event,Time,Event_Type,Event_ID,Event_Category,Source,Message,RecordNumber
System,2025-04-23 18:03:54,WARNING,1014,1014,Microsoft-Windows-DNS-Client,"['wpad', '128', '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', '8548']",653656
System,2025-04-23 18:00:32,WARNING,10016,0,DCOM,"['application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'SAGITTARIUSA', 'Marcin', 'S-1-5-21-2317399020-1525953392-847210374-1001', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable']",653593
System,2025-04-23 16:00:48,WARNING,1014,1014,Microsoft-Windows-DNS-Client,"['wpad', '128', '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', '13276']",651436
System,2025-04-23 15:38:42,WARNING,10016,0,DCOM,"['application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'SAGITTARIUSA', 'Marcin', 'S-1-5-21-2317399020-1525953392-847210374-1001', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable']",651015
System,2025-04-23 14:25:13,WARNING,10016,0,DCOM,"['application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'SAGITTARIUSA', 'Marcin', 'S-1-5-21-2317399020-1525953392-847210374-1001', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable']",649616
System,2025-04-23 14:24:08,WARNING,10016,0,DCOM,"['application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'SAGITTARIUSA', 'Marcin', 'S-1-5-21-2317399020-1525953392-847210374-1001', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable']",649595
System,2025-04-23 13:44:39,ERROR,20,1,Microsoft-Windows-WindowsUpdateClient,"['0x80073d02', '9PC1H9VN18CM-Microsoft.StartExperiencesApp', '{4df49ac9-3403-4bf9-8025-7c27c5bfcc1a}', '1', '{855e8a7c-ecb4-4ca3-b045-1dfa50104289}']",648836
System,2025-04-23 13:44:38,ERROR,20,1,Microsoft-Windows-WindowsUpdateClient,"['0x80073d02', '9NMPJ99VJBWV-Microsoft.YourPhone', '{2eb475fe-568c-40c0-97c7-1b48d934a305}', '1', '{855e8a7c-ecb4-4ca3-b045-1dfa50104289}']",648833
System,2025-04-23 13:23:26,ERROR,20,1,Microsoft-Windows-WindowsUpdateClient,"['0x80073d02', '9NMPJ99VJBWV-Microsoft.YourPhone', '{2eb475fe-568c-40c0-97c7-1b48d934a305}', '1', '{855e8a7c-ecb4-4ca3-b045-1dfa50104289}']",648421
System,2025-04-23 13:22:09,WARNING,10016,0,DCOM,"['application-specific', 'Local', 'Activation', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'SAGITTARIUSA', 'Marcin', 'S-1-5-21-2317399020-1525953392-847210374-1001', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable']",648391
