Event,Time,Event_Type,Event_ID,Source,Message
System,Thu Mar 27 09:36:10 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 09:15:30 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 09:14:43 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 09:11:08 2025,WARNING,1014,Microsoft-Windows-DNS-Client,"('signaler-pa.clients6.google.com', '128', '02000000AC140A01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', '22764')"
System,Thu Mar 27 08:41:53 2025,WARNING,10016,DCOM,"('w³aœciwe dla aplikacji', 'Lokalny', 'Aktywacja', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'CERBER', 'ccerb', 'S-1-5-21-4183552946-3221311160-120484362-1003', 'LocalHost (u¿ycie LRPC)', 'Niedostêpny', 'Niedostêpny')"
System,Thu Mar 27 08:35:18 2025,WARNING,10016,DCOM,"('w³aœciwe dla aplikacji', 'Lokalny', 'Aktywacja', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'CERBER', 'ccerb', 'S-1-5-21-4183552946-3221311160-120484362-1003', 'LocalHost (u¿ycie LRPC)', 'Niedostêpny', 'Niedostêpny')"
System,Thu Mar 27 08:17:30 2025,WARNING,10016,DCOM,"('w³aœciwe dla aplikacji', 'Lokalny', 'Aktywacja', '{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}', '{15C20B67-12E7-4BB6-92BB-7AFF07997402}', 'CERBER', 'ccerb', 'S-1-5-21-4183552946-3221311160-120484362-1003', 'LocalHost (u¿ycie LRPC)', 'Niedostêpny', 'Niedostêpny')"
System,Thu Mar 27 08:14:58 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 08:13:45 2025,WARNING,-2147221454,Ntfs,"('', '\\WZIRNIlaby\\maszyny\\ubuntu\\Ubuntu 64-bit.scoreboard')"
System,Thu Mar 27 08:13:44 2025,WARNING,-2147221454,Ntfs,"('', '\\WZIRNIlaby\\maszyny\\ubuntu\\564d34b9-16d2-9846-3ba5-5f6acee5b048.vmem')"
System,Thu Mar 27 08:13:35 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 08:13:32 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 08:13:20 2025,WARNING,-2147221454,Ntfs,"('', '\\WZIRNIlaby\\iso_i_tym_podobne\\kali\\kali-linux .. revm\\564d2c72-0251-3507-ed66-2fd0ea111fc3.vmem')"
System,Thu Mar 27 08:13:12 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 08:13:04 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 08:13:02 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 08:13:01 2025,WARNING,-2147221454,Ntfs,"('', '\\Device\\HarddiskVolume8\\WZIRNIlaby\\maszyny\\ubuntu\\Ubuntu 64-bit-s005.vmdk')"
System,Thu Mar 27 08:13:01 2025,WARNING,-2147221454,Ntfs,"('', '\\Device\\HarddiskVolume8\\WZIRNIlaby\\maszyny\\ubuntu\\vmware.log')"
System,Thu Mar 27 08:13:01 2025,WARNING,-2147221454,Ntfs,"('', '\\Device\\HarddiskVolume8\\WZIRNIlaby\\maszyny\\ubuntu\\Ubuntu 64-bit-s004.vmdk')"
System,Thu Mar 27 08:13:01 2025,WARNING,-2147221454,Ntfs,"('', '\\Device\\HarddiskVolume8\\WZIRNIlaby\\maszyny\\ubuntu\\Ubuntu 64-bit-s003.vmdk')"
System,Thu Mar 27 08:13:01 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\maszyny\\ubuntu\\Ubuntu 64-bit-s003.vmdk')"
System,Thu Mar 27 08:13:00 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
